obfuscation,seed,n_entities,n_launderers,model,comparison,metric,d_point,ci_lo,ci_hi,equiv_bound,verdict,T2_auc,hi_auc,T2_ap,hi_ap,audit_pass,audit_worst_feature,audit_worst_auc
0.6,20260708,8000,426,logit,T2_vs_T4,ap,0.07161699791957332,0.057575952446315484,0.08549473137691593,0.08549473137691593,SURVEILLANCE_SUPERIOR,0.9773778220772571,0.9877589628962934,0.8369138002604235,0.9085307981799968,True,w_frac_fast_mean,0.8331163815920787
0.6,20260708,8000,426,gboost,T2_vs_T3,auc,0.0008485912393647599,8.567957460273725e-05,0.0017965509320823135,0.0017965509320823135,EQUIVALENT,0.9946919657191453,0.9955405569585101,0.9712531050948878,0.9739838199085595,True,w_frac_fast_mean,0.8331163815920787
0.6,20260708,8000,426,gboost,T2_vs_T3,ap,0.0027307148136717085,0.0003212897168441531,0.00550297971989666,0.00550297971989666,EQUIVALENT,0.9946919657191453,0.9955405569585101,0.9712531050948878,0.9739838199085595,True,w_frac_fast_mean,0.8331163815920787
0.6,20260708,8000,426,gboost,T2_vs_T4,auc,-0.0003551809935395944,-0.0042371595020647855,0.0025119951852622777,0.0042371595020647855,EQUIVALENT,0.9946919657191453,0.9943367847256057,0.9712531050948878,0.9796172227817704,True,w_frac_fast_mean,0.8331163815920787
0.6,20260708,8000,426,gboost,T2_vs_T4,ap,0.00836411768688261,0.0038042984952866787,0.013284134122836782,0.013284134122836782,EQUIVALENT,0.9946919657191453,0.9943367847256057,0.9712531050948878,0.9796172227817704,True,w_frac_fast_mean,0.8331163815920787
0.6,20260709,8000,383,logit,T2_vs_T3,auc,0.009568057707937339,0.006092053850963025,0.013791316759997634,0.013791316759997634,EQUIVALENT,0.9699408119326324,0.9795088696405697,0.839040241986211,0.8681538906579754,True,w_frac_fast_mean,0.8340499178867115
0.6,20260709,8000,383,logit,T2_vs_T3,ap,0.02911364867176447,0.01856051868448185,0.04041998606975916,0.04041998606975916,INCONCLUSIVE,0.9699408119326324,0.9795088696405697,0.839040241986211,0.8681538906579754,True,w_frac_fast_mean,0.8340499178867115
0.6,20260709,8000,383,logit,T2_vs_T4,auc,0.011433816963635435,0.007533989742409203,0.015948370235263704,0.015948370235263704,EQUIVALENT,0.9699408119326324,0.9813746288962678,0.839040241986211,0.8974066439317046,True,w_frac_fast_mean,0.8340499178867115
0.6,20260709,8000,383,logit,T2_vs_T4,ap,0.058366401945493585,0.04393042181378532,0.0738061074784257,0.0738061074784257,SURVEILLANCE_SUPERIOR,0.9699408119326324,0.9813746288962678,0.839040241986211,0.8974066439317046,True,w_frac_fast_mean,0.8340499178867115
0.6,20260709,8000,383,gboost,T2_vs_T3,auc,0.0016522064325676933,-0.004182078677822404,0.006743076647513923,0.006743076647513923,EQUIVALENT,0.9827303294026587,0.9843825358352264,0.9407867538703083,0.9508599032122156,True,w_frac_fast_mean,0.8340499178867115
